Date;Open;High;Low;Close;Number of Shares;Number of Trades;Turnover
28/05/2021;6453.12;6493.72;6448.87;6484.11;0;0;3047833903
31/05/2021;6483.32;6496.32;6441.76;6447.17;0;0;2002254724
01/06/2021;6470.42;6521.57;6464.71;6489.40;0;0;2886028762
02/06/2021;6489.90;6521.82;6482.10;6521.52;0;0;2833996195
03/06/2021;6518.58;6522.23;6473.67;6507.92;0;0;2563869270
04/06/2021;6514.27;6517.93;6497.39;6515.66;0;0;2405256909
07/06/2021;6509.98;6560.39;6485.80;6543.56;0;0;2840189618
08/06/2021;6545.69;6574.21;6540.71;6551.01;0;0;3001339444
09/06/2021;6561.93;6570.82;6533.37;6563.45;0;0;2940912009
10/06/2021;6574.59;6574.59;6526.23;6546.49;0;0;3035365824
11/06/2021;6550.30;6607.61;6549.83;6600.66;0;0;3287282081
14/06/2021;6625.55;6650.16;6599.27;6616.35;0;0;3093430398
15/06/2021;6643.42;6655.66;6634.45;6639.52;0;0;3020205048
16/06/2021;6657.52;6659.38;6632.36;6652.65;0;0;3289681684
17/06/2021;6636.70;6674.37;6631.63;6666.26;0;0;3305229036
18/06/2021;6657.23;6687.29;6560.12;6569.16;0;0;8673382419
21/06/2021;6525.03;6607.99;6511.93;6602.54;0;0;3306153923
22/06/2021;6609.98;6622.20;6583.50;6611.50;0;0;3031604157
23/06/2021;6616.73;6619.02;6551.07;6551.07;0;0;3114899352
24/06/2021;6576.07;6639.83;6572.81;6631.15;0;0;3482137384
25/06/2021;6637.68;6641.90;6604.86;6622.87;0;0;2745626937
28/06/2021;6611.99;6633.73;6556.88;6558.02;0;0;2911275397
29/06/2021;6564.07;6599.88;6561.09;6567.43;0;0;2932297286
30/06/2021;6562.17;6575.84;6474.43;6507.83;0;0;4355555415
01/07/2021;6549.82;6588.14;6502.05;6553.82;0;0;3194643712
02/07/2021;6572.00;6582.79;6540.12;6552.86;0;0;2633971448
05/07/2021;6545.98;6582.87;6520.38;6567.54;0;0;2003444890
06/07/2021;6551.00;6561.51;6483.20;6507.48;0;0;3209163361
07/07/2021;6529.49;6550.95;6497.75;6527.72;0;0;3422695024
08/07/2021;6479.40;6483.32;6348.64;6396.73;0;0;4925878352
09/07/2021;6435.29;6532.56;6429.67;6529.42;0;0;3823233791
12/07/2021;6525.11;6567.98;6479.54;6559.25;0;0;2882646502
13/07/2021;6561.74;6569.37;6536.45;6558.47;0;0;2870609671
14/07/2021;6533.80;6565.20;6530.91;6558.38;0;0;2253729288
15/07/2021;6538.41;6554.79;6471.07;6493.36;0;0;2885419285
16/07/2021;6524.95;6526.76;6418.25;6460.08;0;0;3525072145
19/07/2021;6398.84;6403.51;6253.25;6295.97;0;0;4775039544
20/07/2021;6325.16;6386.46;6304.85;6346.85;0;0;3380113711
21/07/2021;6382.36;6471.65;6381.94;6464.48;0;0;3428846694
22/07/2021;6498.31;6525.21;6474.05;6481.59;0;0;2620211278
23/07/2021;6518.60;6574.86;6510.27;6568.82;0;0;0
26/07/2021;6532.01;6588.09;6517.05;6578.60;0;0;2543388410
27/07/2021;6565.19;6578.04;6516.57;6531.92;0;0;3023114713
28/07/2021;6547.47;6609.31;6530.74;6609.31;0;0;2722668007
29/07/2021;6647.08;6671.12;6633.77;6633.77;0;0;3872926755
30/07/2021;6608.16;6648.20;6596.99;6612.76;0;0;4439808161
02/08/2021;6657.95;6690.80;6639.31;6675.90;0;0;3218305006
03/08/2021;6692.60;6749.88;6688.12;6723.81;0;0;3349076204
04/08/2021;6751.15;6766.61;6730.60;6746.23;0;0;3192608702
05/08/2021;6750.86;6788.69;6750.86;6781.19;0;0;2822989929
06/08/2021;6772.49;6832.94;6763.01;6816.96;0;0;3091632454
09/08/2021;6818.54;6832.77;6806.98;6813.18;0;0;2108807286
10/08/2021;6817.63;6833.12;6811.77;6820.21;0;0;2276438127
11/08/2021;6840.28;6867.11;6821.21;6857.99;0;0;2545599411
12/08/2021;6861.44;6891.29;6854.99;6882.47;0;0;2658388331
13/08/2021;6888.48;6913.67;6885.64;6896.04;0;0;2265507238
16/08/2021;6849.68;6863.74;6817.43;6838.77;0;0;2457616404
17/08/2021;6812.42;6827.49;6789.11;6819.84;0;0;2744557041
18/08/2021;6824.64;6828.33;6759.74;6770.11;0;0;3106675277
19/08/2021;6665.12;6671.17;6560.74;6605.89;0;0;5448572320
20/08/2021;6602.95;6633.19;6567.93;6626.11;0;0;4010993565
23/08/2021;6699.32;6699.32;6657.14;6683.10;0;0;3052162909
24/08/2021;6717.77;6717.77;6634.69;6664.31;0;0;2506505461
25/08/2021;6683.18;6684.21;6667.25;6676.48;0;0;2337380276
26/08/2021;6646.37;6673.94;6618.69;6666.03;0;0;2340180487
27/08/2021;6658.27;6682.15;6644.68;6681.92;0;0;2094332435
30/08/2021;6690.28;6697.52;6675.32;6687.30;0;0;1763525497
31/08/2021;6692.85;6708.14;6650.90;6680.18;0;0;4574999257
01/09/2021;6736.44;6784.66;6730.17;6758.69;0;0;3570803784
02/09/2021;6753.18;6778.33;6747.17;6763.08;0;0;2644944518
03/09/2021;6758.38;6758.38;6667.39;6689.99;0;0;2872017486
06/09/2021;6704.35;6756.40;6700.45;6743.50;0;0;1901105882
07/09/2021;6731.36;6749.14;6721.35;6726.07;0;0;2407331852
08/09/2021;6688.84;6712.05;6628.98;6668.89;0;0;3267492912
09/09/2021;6618.82;6708.33;6605.09;6684.72;0;0;2996399100
10/09/2021;6707.33;6722.73;6651.06;6663.77;0;0;3184571214
13/09/2021;6688.77;6722.00;6670.85;6676.93;0;0;2841538272
14/09/2021;6672.19;6677.07;6613.52;6652.97;0;0;2969824720
15/09/2021;6654.83;6659.27;6577.02;6583.62;0;0;4000330056
16/09/2021;6613.71;6663.41;6612.16;6622.59;0;0;3842859405
17/09/2021;6679.45;6697.08;6551.62;6570.19;0;0;9659834027
20/09/2021;6450.39;6471.09;6389.62;6455.81;0;0;5228581237
21/09/2021;6513.75;6570.13;6513.75;6552.73;0;0;5705390379
22/09/2021;6612.10;6642.31;6595.93;6637.00;0;0;3464240156
23/09/2021;6691.08;6718.80;6667.36;6701.98;0;0;3321968700
24/09/2021;6675.73;6678.65;6625.43;6638.46;0;0;0
27/09/2021;6683.85;6688.76;6647.08;6650.91;0;0;3953570063
28/09/2021;6634.72;6643.58;6491.42;6506.50;0;0;5434685682
29/09/2021;6549.41;6590.81;6538.11;6560.80;0;0;3699214283
30/09/2021;6615.99;6621.75;6509.23;6520.01;0;0;5046032574
01/10/2021;6421.10;6535.46;6412.70;6517.69;0;0;4080953237
04/10/2021;6484.90;6540.96;6452.78;6477.66;0;0;3262198840
05/10/2021;6481.72;6577.29;6481.72;6576.28;0;0;3603142107
06/10/2021;6509.60;6510.47;6421.64;6493.12;0;0;4139453121
07/10/2021;6563.24;6616.53;6545.74;6600.19;0;0;3997035258
08/10/2021;6609.51;6617.34;6559.99;6559.99;0;0;3176237464
11/10/2021;6546.07;6574.22;6522.55;6570.54;0;0;2946673143
12/10/2021;6495.15;6548.11;6491.58;6548.11;0;0;3013389712
13/10/2021;6539.61;6606.36;6510.27;6597.38;0;0;3526384282
14/10/2021;6651.18;6692.94;6618.79;6685.21;0;0;3449040445
15/10/2021;6714.26;6746.81;6703.26;6727.52;0;0;4707259399
18/10/2021;6697.29;6697.60;6642.16;6673.10;0;0;3053423604
19/10/2021;6690.95;6692.14;6650.84;6669.85;0;0;2926798942
20/10/2021;6636.61;6715.52;6636.61;6705.61;0;0;3261064033
21/10/2021;6673.14;6699.21;6658.95;6686.17;0;0;2958882309
22/10/2021;6720.92;6765.46;6716.15;6733.69;0;0;3408928850
25/10/2021;6752.98;6752.98;6707.32;6712.87;0;0;2855165129
26/10/2021;6723.06;6775.82;6711.21;6766.51;0;0;3172319553
27/10/2021;6755.63;6771.19;6731.86;6753.52;0;0;3151929294
28/10/2021;6750.78;6804.22;6750.78;6804.22;0;0;3634406807
29/10/2021;6778.79;6830.34;6748.53;6830.34;0;0;4420583888
01/11/2021;6870.28;6908.65;6859.44;6893.29;0;0;3126027899
02/11/2021;6883.06;6933.35;6879.69;6927.03;0;0;3133894932
03/11/2021;6919.47;6955.10;6917.75;6950.65;0;0;3295351554
04/11/2021;6977.62;6993.01;6962.01;6987.79;0;0;3704980616
05/11/2021;6983.80;7063.40;6983.80;7040.79;0;0;4284976004
08/11/2021;7041.60;7067.10;7037.67;7047.48;0;0;3141176860
09/11/2021;7023.58;7079.58;7016.73;7043.27;0;0;3400795153
10/11/2021;7046.17;7053.27;7014.94;7045.16;0;0;3772199181
11/11/2021;7038.84;7072.63;7032.35;7059.55;0;0;3098211111
12/11/2021;7062.54;7097.46;7056.93;7091.40;0;0;3078574379
15/11/2021;7090.96;7136.13;7088.71;7128.63;0;0;3303795685
16/11/2021;7146.37;7164.27;7136.30;7152.60;0;0;3591053120
17/11/2021;7149.30;7167.80;7147.01;7156.85;0;0;3610880758
18/11/2021;7155.05;7181.55;7136.86;7141.98;0;0;3998780184
19/11/2021;7172.72;7183.08;7068.43;7112.29;0;0;7013073871
22/11/2021;7130.24;7143.60;7087.67;7105.00;0;0;3841470588
23/11/2021;7064.38;7112.49;7002.56;7044.62;0;0;3727712558
24/11/2021;7052.18;7089.11;6983.98;7042.23;0;0;3636976666
25/11/2021;7067.61;7079.49;7047.86;7075.87;0;0;2635197205
26/11/2021;6814.90;6861.15;6725.08;6739.73;0;0;7851274748
29/11/2021;6831.41;6841.79;6760.31;6776.25;0;0;5235825075
30/11/2021;6679.03;6780.88;6655.86;6721.16;0;0;8750022554
01/12/2021;6774.80;6902.46;6750.65;6881.87;0;0;4752726828
02/12/2021;6794.77;6850.37;6762.74;6795.75;0;0;4629976409
03/12/2021;6860.73;6872.79;6730.63;6765.52;0;0;3998625162
06/12/2021;6810.93;6888.07;6776.17;6865.78;0;0;4136569321
07/12/2021;6934.68;7066.95;6934.68;7065.39;0;0;5026012741
08/12/2021;7064.12;7104.06;7014.57;7014.57;0;0;4049252108
09/12/2021;7035.93;7044.99;6983.33;7008.23;0;0;3018101856
10/12/2021;6960.39;7025.88;6960.39;6991.68;0;0;2950241767
13/12/2021;7004.76;7029.38;6929.13;6942.91;0;0;3226391213
14/12/2021;6978.77;6993.30;6891.34;6895.31;0;0;3534125620
15/12/2021;6923.52;6949.92;6904.94;6927.63;0;0;3423587233
16/12/2021;7054.92;7054.92;6987.95;7005.07;0;0;4846319289
17/12/2021;6982.07;7011.61;6884.91;6926.63;0;0;11485114152
20/12/2021;6783.83;6872.75;6747.69;6870.10;0;0;3953156524
21/12/2021;6935.66;6967.93;6888.52;6964.99;0;0;3328395512
22/12/2021;6982.53;7051.67;6963.71;7051.67;0;0;2810592814
23/12/2021;7071.93;7119.87;7049.92;7106.15;0;0;2686130442
24/12/2021;7091.60;7116.88;7086.58;7086.58;0;0;537028215
27/12/2021;7070.14;7149.14;7062.40;7140.39;0;0;1743078998
28/12/2021;7141.85;7187.76;7141.67;7181.11;0;0;1804122494
29/12/2021;7179.11;7201.65;7137.35;7161.52;0;0;1880904570
30/12/2021;7167.53;7189.84;7156.79;7173.23;0;0;1996185664
31/12/2021;7153.66;7163.73;7139.60;7153.03;0;0;871902790
03/01/2022;7197.40;7245.66;7195.82;7217.22;0;0;2627888639
04/01/2022;7273.57;7332.21;7250.24;7317.41;0;0;3773987124
05/01/2022;7320.48;7384.86;7313.53;7376.37;0;0;3916337194
06/01/2022;7264.00;7316.06;7240.88;7249.66;0;0;4348533328
07/01/2022;7250.79;7269.65;7178.18;7219.48;0;0;4051559946
10/01/2022;7245.21;7250.24;7105.55;7115.77;0;0;3985896084
11/01/2022;7185.21;7227.71;7160.44;7183.38;0;0;3740883368
